Year,Almería,Athletic Bilbao,Atlético Madrid,Barcelona,Celta de Vigo,Eibar,Elche,Espanyol,Getafe,Las Palmas,Mallorca,Osasuna,Rayo Vallecano,Real Betis,Real Madrid,Real Sociedad,Sevilla,Valencia,Valladolid,Villarreal
2005.0,34.0,9.0,11.0,1.0,22.0,24.0,30.0,5.0,13.0,50.0,17.0,15.0,50.0,4.0,2.0,14.0,6.0,7.0,26.0,3.0
2006.0,26.0,12.0,10.0,1.0,6.0,42.0,34.0,15.0,9.0,50.0,13.0,4.0,50.0,14.0,2.0,16.0,5.0,3.0,30.0,7.0
2007.0,22.0,17.0,7.0,2.0,18.0,50.0,30.0,11.0,9.0,38.0,12.0,14.0,50.0,16.0,1.0,19.0,3.0,4.0,21.0,5.0
2008.0,8.0,11.0,4.0,3.0,36.0,33.0,30.0,12.0,14.0,28.0,7.0,17.0,50.0,13.0,1.0,24.0,5.0,10.0,15.0,2.0
2009.0,11.0,13.0,4.0,1.0,37.0,41.0,32.0,10.0,17.0,38.0,9.0,16.0,25.0,18.0,2.0,26.0,3.0,6.0,15.0,5.0
2010.0,13.0,8.0,9.0,1.0,32.0,50.0,26.0,11.0,6.0,37.0,5.0,12.0,31.0,24.0,2.0,21.0,4.0,3.0,18.0,7.0
2011.0,20.0,6.0,7.0,1.0,26.0,50.0,24.0,8.0,16.0,35.0,17.0,9.0,22.0,21.0,2.0,15.0,5.0,3.0,27.0,4.0
2012.0,27.0,10.0,5.0,2.0,22.0,50.0,31.0,14.0,11.0,29.0,8.0,7.0,15.0,13.0,1.0,12.0,9.0,3.0,23.0,18.0
2013.0,23.0,12.0,3.0,1.0,17.0,50.0,21.0,13.0,10.0,26.0,18.0,16.0,8.0,7.0,2.0,4.0,9.0,5.0,14.0,22.0
2014.0,17.0,4.0,1.0,2.0,9.0,21.0,16.0,14.0,13.0,26.0,37.0,18.0,12.0,20.0,3.0,7.0,5.0,8.0,19.0,6.0
2015.0,19.0,7.0,3.0,1.0,8.0,18.0,13.0,10.0,15.0,24.0,36.0,38.0,11.0,21.0,2.0,12.0,5.0,4.0,25.0,6.0
2016.0,37.0,5.0,3.0,1.0,6.0,14.0,30.0,13.0,19.0,11.0,36.0,26.0,18.0,10.0,2.0,9.0,7.0,12.0,35.0,4.0
2017.0,35.0,7.0,3.0,2.0,13.0,10.0,50.0,8.0,23.0,14.0,40.0,19.0,32.0,15.0,1.0,6.0,4.0,12.0,27.0,5.0
2018.0,38.0,16.0,2.0,1.0,13.0,9.0,50.0,11.0,8.0,19.0,50.0,28.0,21.0,6.0,3.0,12.0,7.0,4.0,25.0,5.0
2019.0,30.0,8.0,2.0,1.0,17.0,12.0,31.0,7.0,5.0,32.0,25.0,21.0,20.0,10.0,3.0,9.0,6.0,4.0,16.0,14.0
2020.0,24.0,11.0,3.0,2.0,17.0,14.0,26.0,20.0,8.0,29.0,19.0,10.0,27.0,15.0,1.0,6.0,4.0,9.0,13.0,5.0
2021.0,24.0,10.0,1.0,3.0,8.0,20.0,17.0,21.0,15.0,29.0,22.0,11.0,26.0,6.0,2.0,5.0,4.0,13.0,19.0,7.0
2022.0,21.0,8.0,3.0,2.0,11.0,23.0,13.0,14.0,15.0,24.0,16.0,10.0,12.0,5.0,1.0,6.0,4.0,9.0,22.0,7.0
